tconst	ordering	nconst	category	job	characters
tt0068000	10	nm2633856	cinematographer	\N	\N
tt0068000	1	nm0000329	actor	\N	"[""Jackie""]"
tt0068000	2	nm0803298	actor	\N	"[""Old Master""]"
tt0068000	3	nm0509599	actor	\N	"[""Chao Ling""]"
tt0068000	4	nm0790925	actor	\N	"[""Landlord""]"
tt0068000	5	nm0610786	director	\N	\N
tt0068000	6	nm0271814	director	\N	\N
tt0068000	7	nm3976375	writer	\N	\N
tt0068000	8	nm2142356	producer	executive producer	\N
tt0068000	9	nm0150894	composer	\N	\N
tt0070017	10	nm0271814	cinematographer	\N	\N
tt0070017	1	nm0702666	actor	\N	"[""Tang Jing Fong""]"
tt0070017	2	nm1228408	actress	\N	"[""Rickshaw Man's Granddaughter""]"
tt0070017	3	nm2887441	actor	\N	\N
tt0070017	4	nm0000329	actor	\N	"[""Shi Tzer""]"
tt0070017	5	nm0610786	director	\N	\N
tt0070017	6	nm2342385	writer	writer	\N
tt0070017	7	nm2342339	producer	producer	\N
tt0070017	8	nm2809002	producer	producer	\N
tt0070017	9	nm0455098	composer	\N	\N
tt0070049	1	nm0000329	actor	\N	"[""Xiao Liu""]"
tt0070049	2	nm0791461	actor	\N	"[""Brothel client""]"
tt0070049	3	nm0155572	actor	\N	\N
tt0070049	4	nm0512696	actress	\N	\N
tt0070049	5	nm0497379	director	\N	\N
tt0070049	6	nm0788411	producer	producer	\N
tt0070049	7	nm0159450	composer	\N	\N
tt0070049	8	nm1163787	cinematographer	\N	\N
tt0070049	9	nm0156963	editor	\N	\N
tt0073694	10	nm0950621	editor	\N	\N
tt0073694	1	nm0848903	actor	\N	"[""Yun Fei""]"
tt0073694	2	nm0862875	actor	\N	"[""Shih Shao-Feng""]"
tt0073694	3	nm0000329	actor	\N	"[""Tan Feng""]"
tt0073694	4	nm1814409	actress	\N	"[""Autumn Moon""]"
tt0073694	5	nm0000247	director	\N	\N
tt0073694	6	nm0159494	producer	producer	\N
tt0073694	7	nm0345150	composer	\N	\N
tt0073694	8	nm0508667	cinematographer	\N	\N
tt0073694	9	nm0151649	editor	\N	\N
tt0074747	10	nm0393207	editor	\N	\N
tt0074747	1	nm0000329	actor	\N	"[""Hua Wu Bin""]"
tt0074747	2	nm0911093	actor	\N	"[""Mei Xing He""]"
tt0074747	3	nm2313503	actress	\N	\N
tt0074747	4	nm0950528	actor	\N	\N
tt0074747	5	nm0516344	director	\N	\N
tt0074747	6	nm0473325	writer	screenplay	\N
tt0074747	7	nm0159450	composer	\N	\N
tt0074747	8	nm0155185	cinematographer	\N	\N
tt0074747	9	nm0150843	cinematographer	\N	\N
tt0075201	10	nm0399077	editor	\N	\N
tt0075201	1	nm0000329	actor	\N	\N
tt0075201	2	nm0432005	actress	\N	\N
tt0075201	3	nm0436340	actor	\N	\N
tt0075201	4	nm0151793	actress	\N	\N
tt0075201	5	nm0155179	director	\N	\N
tt0075201	6	nm0436339	writer	\N	\N
tt0075201	7	nm0516344	producer	producer	\N
tt0075201	8	nm0159450	composer	\N	\N
tt0075201	9	nm0150843	cinematographer	\N	\N
tt0075439	10	nm0150843	cinematographer	\N	\N
tt0075439	1	nm0000329	actor	\N	"[""A Lung""]"
tt0075439	2	nm0583963	actress	\N	\N
tt0075439	3	nm0151080	actor	\N	\N
tt0075439	4	nm0156460	actor	\N	\N
tt0075439	5	nm0516344	director	\N	\N
tt0075439	6	nm0659015	writer	\N	\N
tt0075439	7	nm0508330	producer	producer	\N
tt0075439	8	nm0155449	composer	\N	\N
tt0075439	9	nm0161161	cinematographer	\N	\N
tt0076227	10	nm0160877	production_designer	\N	\N
tt0076227	1	nm0000329	actor	\N	"[""Lei Shao-feng""]"
tt0076227	2	nm0271799	actress	\N	"[""Ding Can-ren""]"
tt0076227	3	nm0950528	actor	\N	"[""Qian-qian""]"
tt0076227	4	nm0791473	actor	\N	"[""Jin-chuan""]"
tt0076227	5	nm0516344	director	\N	\N
tt0076227	6	nm0473325	writer	\N	\N
tt0076227	7	nm0155219	composer	\N	\N
tt0076227	8	nm0150843	cinematographer	\N	\N
tt0076227	9	nm0393207	editor	\N	\N
tt0077277	10	nm0000329	actor	\N	"[""General Kawasaki's Aide""]"
tt0077277	1	nm0398969	actor	\N	"[""Lee Ching-Lung""]"
tt0077277	2	nm4912321	actor	\N	\N
tt0077277	3	nm4938228	actor	\N	\N
tt0077277	4	nm1163187	actor	\N	"[""General Kawasaki""]"
tt0077277	5	nm0620596	director	\N	\N
tt0077277	6	nm3737565	writer	\N	\N
tt0077277	7	nm3736632	producer	producer	\N
tt0077277	8	nm0530871	cinematographer	\N	\N
tt0077277	9	nm0156906	editor	\N	\N
tt0077541	1	nm0000329	actor	\N	"[""Lord Ting Chung""]"
tt0077541	2	nm2598556	actor	\N	\N
tt0077541	3	nm1595732	actor	\N	\N
tt0077541	4	nm0266747	actress	\N	\N
tt0077541	5	nm0516344	director	\N	\N
tt0077541	6	nm0473325	writer	writer	\N
tt0077541	7	nm0155449	composer	\N	\N
tt0077541	8	nm0151870	cinematographer	\N	\N
tt0077541	9	nm0150995	editor	\N	\N
tt0078128	1	nm0000329	actor	\N	"[""Yi-Lang""]"
tt0078128	2	nm3086858	actor	\N	\N
tt0078128	3	nm2955220	actor	\N	\N
tt0078128	4	nm3086267	actor	\N	\N
tt0078128	5	nm0516344	director	\N	\N
tt0078128	6	nm0659015	writer	writer	\N
tt0078128	7	nm0150894	composer	\N	\N
tt0078128	8	nm0151870	cinematographer	\N	\N
tt0078128	9	nm3521958	editor	\N	\N
tt0078251	10	nm0399077	editor	\N	\N
tt0078251	1	nm0000329	actor	\N	"[""Hsu Yin-Fung""]"
tt0078251	2	nm0583963	actress	\N	"[""Tang Pin-Er""]"
tt0078251	3	nm0155184	actress	\N	\N
tt0078251	4	nm3014268	actor	\N	\N
tt0078251	5	nm0155179	director	\N	\N
tt0078251	6	nm0398786	writer	screenplay	\N
tt0078251	7	nm0508330	producer	producer	\N
tt0078251	8	nm0159450	composer	\N	\N
tt0078251	9	nm0150843	cinematographer	\N	\N
tt0078252	10	nm0874619	writer	screenplay	\N
tt0078252	1	nm0000329	actor	\N	"[""Chien Fu""]"
tt0078252	2	nm0803298	actor	\N	"[""Grandmaster Pai Cheng-Tien""]"
tt0078252	3	nm0399007	actor	\N	"[""Lord Sheng Kuan""]"
tt0078252	4	nm0790925	actor	\N	"[""Teacher Li""]"
tt0078252	5	nm0950759	director	\N	\N
tt0078252	6	nm2359321	writer	writer	\N
tt0078252	7	nm2362852	writer	writer	\N
tt0078252	8	nm0519731	writer	writer	\N
tt0078252	9	nm0628838	writer	screenplay	\N
tt0079315	1	nm0000329	actor	\N	"[""Shing Lung""]"
tt0079315	2	nm0862875	actor	\N	"[""Grandpa""]"
tt0079315	3	nm0790925	actor	\N	"[""The Coffin Seller""]"
tt0079315	4	nm0150921	actor	\N	"[""The Unicorn""]"
tt0079315	5	nm0516344	writer	\N	\N
tt0079315	6	nm0508330	producer	producer	\N
tt0079315	7	nm0150894	composer	\N	\N
tt0079315	8	nm0151870	cinematographer	\N	\N
tt0079315	9	nm0150995	editor	\N	\N
tt0079484	10	nm0041251	actress	\N	"[""Mistress""]"
tt0079484	1	nm0000329	actor	\N	"[""Tong Huo-wan""]"
tt0079484	2	nm0583963	actress	\N	"[""Mung-laan""]"
tt0079484	3	nm0862875	actor	\N	"[""Fong-gong""]"
tt0079484	4	nm2079044	actor	\N	"[""Chung Cau-ping""]"
tt0079484	5	nm0516344	director	\N	\N
tt0079484	6	nm3091923	writer	screenplay	\N
tt0079484	7	nm0150894	composer	\N	\N
tt0079484	8	nm1080906	actor	\N	"[""Ngai Cong-long""]"
tt0079484	9	nm2084894	actor	\N	"[""Chung Gim-gwan""]"
tt0079509	10	nm0508591	actor	\N	"[""Stone""]"
tt0079509	1	nm0000329	actor	\N	"[""Sammy""]"
tt0079509	2	nm0510857	actress	\N	"[""Lily""]"
tt0079509	3	nm0911093	actor	\N	"[""Don Wen""]"
tt0079509	4	nm0839003	actor	\N	"[""Old Sun""]"
tt0079509	5	nm0160900	director	\N	\N
tt0079509	6	nm2502938	writer	screenplay	\N
tt0079509	7	nm0948044	producer	producer	\N
tt0079509	8	nm0915452	composer	\N	\N
tt0079509	9	nm0432531	actor	\N	"[""General""]"
tt0080179	10	nm0398861	editor	\N	\N
tt0080179	1	nm0000329	actor	\N	"[""Wong Fei-Hung""]"
tt0080179	2	nm0803298	actor	\N	"[""Beggar So""]"
tt0080179	3	nm0399007	actor	\N	"[""Jim Ti-Sam""]"
tt0080179	4	nm0790925	actor	\N	"[""Ko Choi""]"
tt0080179	5	nm0950759	director	\N	\N
tt0080179	6	nm0519731	writer	writer	\N
tt0080179	7	nm0628838	writer	writer	\N
tt0080179	8	nm0159450	composer	\N	\N
tt0080179	9	nm0151714	cinematographer	\N	\N
tt0080436	10	nm0151649	editor	\N	\N
tt0080436	1	nm0000329	actor	\N	"[""Jerry Kwan""]"
tt0080436	2	nm0213374	actress	\N	"[""Nancy""]"
tt0080436	3	nm0001207	actor	\N	"[""Dominici""]"
tt0080436	4	nm0538683	actor	\N	"[""Herbert""]"
tt0080436	5	nm0167195	director	\N	\N
tt0080436	6	nm0918518	writer	story	\N
tt0080436	7	nm0159494	producer	producer	\N
tt0080436	8	nm0006277	composer	\N	\N
tt0080436	9	nm0422271	cinematographer	director of photography	\N
tt0080623	10	nm0150995	editor	\N	\N
tt0080623	1	nm0000329	actor	\N	"[""Jiang""]"
tt0080623	2	nm0432005	actress	\N	"[""Fong""]"
tt0080623	3	nm0155184	actress	\N	"[""Chin Ping Lu""]"
tt0080623	4	nm3086858	actor	\N	\N
tt0080623	5	nm0155179	director	\N	\N
tt0080623	6	nm2601077	writer	\N	\N
tt0080623	7	nm0516344	producer	producer	\N
tt0080623	8	nm0150894	composer	\N	\N
tt0080623	9	nm0155185	cinematographer	\N	\N
tt0081499	10	nm0155185	cinematographer	\N	\N
tt0081499	1	nm0000329	actor	\N	"[""Dragon""]"
tt0081499	2	nm0670481	actor	\N	"[""Tiger""]"
tt0081499	3	nm0950707	actor	\N	"[""Sang Kung's Son"",""Fourth Brother""]"
tt0081499	4	nm0497763	actress	\N	"[""Sang Kung's Daughter""]"
tt0081499	5	nm0490626	writer	\N	\N
tt0081499	6	nm1146362	writer	\N	\N
tt0081499	7	nm0516343	writer	\N	\N
tt0081499	8	nm0159494	producer	producer	\N
tt0081499	9	nm0387337	producer	producer	\N
tt0084266	10	nm0151068	composer	\N	\N
tt0084266	1	nm0000329	actor	\N	"[""Dragon""]"
tt0084266	2	nm0550301	actor	\N	"[""Cowboy""]"
tt0084266	3	nm0151155	actor	\N	"[""Tiger""]"
tt0084266	4	nm0948026	actress	\N	"[""Alice""]"
tt0084266	5	nm0535320	writer	english adaptation	\N
tt0084266	6	nm0849282	writer	\N	\N
tt0084266	7	nm0938944	writer	\N	\N
tt0084266	8	nm0387337	producer	producer	\N
tt0084266	9	nm0150894	composer	\N	\N
tt0085127	10	nm0156601	cinematographer	\N	\N
tt0085127	1	nm0000329	actor	\N	"[""Sergeant Dragon Ma Yue Lung""]"
tt0085127	2	nm0005033	actor	\N	"[""Fei""]"
tt0085127	3	nm0950707	actor	\N	"[""Captain Tzu""]"
tt0085127	4	nm0526714	actor	\N	"[""Lor Sam Pau""]"
tt0085127	5	nm0535320	writer	english adaptation	\N
tt0085127	6	nm0849282	writer	writer	\N
tt0085127	7	nm0387337	producer	producer	\N
tt0085127	8	nm0499995	composer	\N	\N
tt0085127	9	nm0729374	composer	\N	\N
tt0085864	10	nm0473928	actor	\N	"[""Earth Devil""]"
tt0085864	1	nm0000329	actor	\N	"[""Chan Lung""]"
tt0085864	2	nm0790925	actor	\N	"[""Jaws Four""]"
tt0085864	3	nm0862875	actor	\N	"[""Old Chen""]"
tt0085864	4	nm0906402	actor	\N	"[""Ah Tung""]"
tt0085864	5	nm0150839	director	\N	\N
tt0085864	6	nm0516344	writer	\N	\N
tt0085864	7	nm1662916	cinematographer	\N	\N
tt0085864	8	nm0150995	editor	\N	\N
tt0085864	9	nm0945188	actor	\N	"[""Heaven and Earth Society Leader""]"
tt0086605	10	nm0490605	cinematographer	\N	\N
tt0086605	1	nm0005033	actor	\N	"[""Teapot""]"
tt0086605	2	nm0000329	actor	\N	"[""CID 07""]"
tt0086605	3	nm0762632	actor	\N	"[""Curly""]"
tt0086605	4	nm0628827	actor	\N	"[""Exhaust Pipe""]"
tt0086605	5	nm0938944	writer	story	\N
tt0086605	6	nm0159494	producer	producer	\N
tt0086605	7	nm0387337	producer	producer	\N
tt0086605	8	nm0044951	composer	\N	\N
tt0086605	9	nm0150894	composer	\N	\N
tt0087578	10	nm0156601	cinematographer	\N	\N
tt0087578	1	nm0000329	actor	\N	"[""Thomas""]"
tt0087578	2	nm0950707	actor	\N	"[""David""]"
tt0087578	3	nm0005033	actor	\N	"[""Moby""]"
tt0087578	4	nm0882054	actor	\N	"[""Mondale's Henchman""]"
tt0087578	5	nm0849282	writer	written by	\N
tt0087578	6	nm1471273	writer	written by	\N
tt0087578	7	nm0387337	producer	producer	\N
tt0087578	8	nm0044951	composer	\N	\N
tt0087578	9	nm0482697	composer	\N	\N
tt0089374	10	nm0006254	composer	\N	\N
tt0089374	1	nm0000329	actor	\N	"[""Chan Ka Kui""]"
tt0089374	2	nm0001041	actress	\N	"[""May""]"
tt0089374	3	nm0510857	actress	\N	"[""Selina Fong""]"
tt0089374	4	nm0482647	actor	\N	"[""Supt. Raymond Li""]"
tt0089374	5	nm0155179	director	executive director	\N
tt0089374	6	nm0849282	writer	\N	\N
tt0089374	7	nm0387337	producer	producer	\N
tt0089374	8	nm0060311	composer	\N	\N
tt0089374	9	nm0499995	composer	\N	\N
tt0089847	10	nm0410419	cinematographer	\N	\N
tt0089847	1	nm0000329	actor	\N	"[""Billy Wong""]"
tt0089847	2	nm0000732	actor	\N	"[""Danny Garoni""]"
tt0089847	3	nm0018726	actor	\N	"[""Gang Leader""]"
tt0089847	4	nm0036663	actor	\N	"[""Police Captain""]"
tt0089847	5	nm0322785	director	\N	\N
tt0089847	6	nm1146362	writer	Hong Kong version	\N
tt0089847	7	nm0150858	producer	producer	\N
tt0089847	8	nm0006322	composer	\N	\N
tt0089847	9	nm0156601	cinematographer	\N	\N
tt0091427	10	nm0938939	cinematographer	\N	\N
tt0091427	1	nm0000329	actor	\N	"[""Ted"",""Tat Fung""]"
tt0091427	2	nm0005033	actor	\N	"[""Danny"",""Dodo Fung""]"
tt0091427	3	nm0160823	actress	\N	"[""Jenny""]"
tt0091427	4	nm0389885	actor	\N	"[""Yan"",""Ian""]"
tt0091427	5	nm0150897	director	second director	\N
tt0091427	6	nm0938944	writer	\N	\N
tt0091427	7	nm0482585	producer	producer	\N
tt0091427	8	nm0943138	producer	producer	\N
tt0091427	9	nm0482657	composer	\N	\N
tt0091431	10	nm0791949	writer	screenplay	\N
tt0091431	1	nm0000329	actor	\N	"[""Asian Hawk""]"
tt0091431	2	nm0848355	actor	\N	"[""Alan""]"
tt0091431	3	nm0263851	actress	\N	"[""Lorelei""]"
tt0091431	4	nm0286499	actress	\N	"[""May""]"
tt0091431	5	nm0874676	director	\N	\N
tt0091431	6	nm0938944	writer	original story	\N
tt0091431	7	nm0849282	writer	screenplay	\N
tt0091431	8	nm1022277	writer	screenplay	\N
tt0091431	9	nm5025819	writer	screenplay	\N
tt0092501	10	nm0499995	composer	\N	\N
tt0092501	1	nm0000329	actor	\N	"[""Sergeant Dragon Ma Yue Lung""]"
tt0092501	2	nm0001041	actress	\N	"[""Yesan""]"
tt0092501	3	nm0263851	actress	\N	"[""Miss Pak""]"
tt0092501	4	nm0490500	actress	\N	"[""Beattie""]"
tt0092501	5	nm0535320	writer	english adaptation	\N
tt0092501	6	nm0849282	writer	\N	\N
tt0092501	7	nm0950568	writer	dialogue	\N
tt0092501	8	nm0387337	producer	producer	\N
tt0092501	9	nm0482595	producer	producer	\N
tt0093015	10	nm0793930	composer	\N	\N
tt0093015	1	nm0000329	actor	\N	"[""Jackie Lung""]"
tt0093015	2	nm0005033	actor	\N	"[""Luke Wong Fei-hung""]"
tt0093015	3	nm0950707	actor	\N	"[""Timothy Tung Tak-Biao""]"
tt0093015	4	nm0947807	actress	\N	"[""Nancy Lee""]"
tt0093015	5	nm0477035	director	co-director	\N
tt0093015	6	nm0150906	writer	original story	\N
tt0093015	7	nm0504935	writer	original story	\N
tt0093015	8	nm1022277	writer	screenplay	\N
tt0093015	9	nm0387337	producer	producer	\N
tt0095403	10	nm0482697	composer	\N	\N
tt0095403	1	nm0000329	actor	\N	"[""Chan Ka Kui""]"
tt0095403	2	nm0001041	actress	\N	"[""May""]"
tt0095403	3	nm0482647	actor	\N	"[""Supt. Raymond Li""]"
tt0095403	4	nm0876603	actor	\N	"[""Bill Wong""]"
tt0095403	5	nm0165560	writer	\N	\N
tt0095403	6	nm0849282	writer	writer	\N
tt0095403	7	nm0387337	producer	producer	\N
tt0095403	8	nm2387337	composer	\N	\N
tt0095403	9	nm0006254	composer	\N	\N
tt0098019	10	nm0876223	writer	\N	\N
tt0098019	1	nm0000329	actor	\N	"[""'Charlie' Cheng Wah Kuo""]"
tt0098019	2	nm0611315	actress	\N	"[""Luming Yang""]"
tt0098019	3	nm0013833	actress	\N	"[""Madam Kao""]"
tt0098019	4	nm0398801	actor	\N	"[""Tiger""]"
tt0098019	5	nm5987682	writer	\N	\N
tt0098019	6	nm0437900	writer	\N	\N
tt0098019	7	nm0728307	writer	\N	\N
tt0098019	8	nm0750357	writer	\N	\N
tt0098019	9	nm0849282	writer	written by	\N
tt0099558	10	nm0938939	cinematographer	\N	\N
tt0099558	1	nm0000329	actor	\N	"[""Asian Hawk"",""Condor"",""Jackie""]"
tt0099558	2	nm0155546	actress	\N	"[""Ada""]"
tt0099558	3	nm0167938	actress	\N	"[""Elsa""]"
tt0099558	4	nm0407453	actress	\N	"[""Momoko""]"
tt0099558	5	nm0849282	writer	\N	\N
tt0099558	6	nm0387337	producer	producer	\N
tt0099558	7	nm0044951	composer	\N	\N
tt0099558	8	nm0006059	composer	\N	\N
tt0099558	9	nm0704979	composer	\N	\N
tt0099812	10	nm0398801	producer	producer	\N
tt0099812	1	nm0000329	actor	\N	"[""Lung"",""Steve Tong""]"
tt0099812	2	nm0490489	actor	\N	"[""Lau"",""Boss Lee""]"
tt0099812	3	nm0005033	actor	\N	"[""Fatty Liu Hsi Chia"",""John Liu""]"
tt0099812	4	nm0504899	actor	\N	"[""Wei Wang"",""Andy Lau""]"
tt0099812	5	nm0160900	director	\N	\N
tt0099812	6	nm0297133	writer	\N	\N
tt0099812	7	nm0611344	writer	english version	\N
tt0099812	8	nm0947318	writer	\N	\N
tt0099812	9	nm0155411	producer	producer	\N
tt0103950	1	nm0000329	actor	\N	"[""Ryu Saeba""]"
tt0103950	2	nm0636280	actor	\N	"[""Col. MacDonald""]"
tt0103950	3	nm0939153	actress	\N	"[""Kaori Makimura"",""Carrie""]"
tt0103950	4	nm0331822	actress	\N	"[""Shizuko Imamura"",""Kyoko""]"
tt0103950	5	nm0939147	director	\N	\N
tt0103950	6	nm0405783	writer	comic	\N
tt0103950	7	nm0482585	producer	producer	\N
tt0103950	8	nm0246738	composer	\N	\N
tt0103950	9	nm0399074	composer	\N	\N
tt0104558	10	nm0156809	composer	\N	\N
tt0104558	1	nm0000329	actor	\N	"[""Insp. Chan Ka Kui""]"
tt0104558	2	nm0000706	actress	\N	"[""Insp. Jessica Yang, Director of INTERPOL""]"
tt0104558	3	nm0001041	actress	\N	"[""May""]"
tt0104558	4	nm0874684	actor	\N	"[""Chaibat""]"
tt0104558	5	nm0867262	director	\N	\N
tt0104558	6	nm0849282	writer	characters	\N
tt0104558	7	nm0530853	writer	written by	\N
tt0104558	8	nm0947177	writer	written by	\N
tt0104558	9	nm0151162	producer	producer	\N
tt0105399	10	nm0474373	writer	english adaptation	\N
tt0105399	1	nm0000329	actor	\N	"[""Ma Yau"",""Die Hard""]"
tt0105399	2	nm0001041	actress	\N	"[""Barbara""]"
tt0105399	3	nm0477108	actor	\N	"[""Tarzan (Tyson in US Version)""]"
tt0105399	4	nm0399074	actor	\N	"[""Mr. Ma - Twins' Father""]"
tt0105399	5	nm0482681	director	\N	\N
tt0105399	6	nm0007139	director	\N	\N
tt0105399	7	nm0938944	writer	\N	\N
tt0105399	8	nm0156432	writer	\N	\N
tt0105399	9	nm0939415	writer	\N	\N
tt0108656	10	nm0151125	writer	screenplay	\N
tt0108656	1	nm0000329	actor	\N	"[""Inspector Eddie Chan""]"
tt0108656	2	nm0155587	actor	\N	"[""Detective Hung Ting-Bong""]"
tt0108656	3	nm0437630	actor	\N	"[""Wong Yat-Fei""]"
tt0108656	4	nm0628739	actress	\N	"[""Gaga""]"
tt0108656	5	nm0939202	director	\N	\N
tt0108656	6	nm0161159	writer	screenplay	\N
tt0108656	7	nm0151013	writer	screenplay	\N
tt0108656	8	nm0156511	writer	screenplay	\N
tt0108656	9	nm0156451	writer	screenplay	\N
tt0111512	10	nm0874676	producer	producer	\N
tt0111512	1	nm0000329	actor	\N	"[""Wong Fei-hung""]"
tt0111512	2	nm0657064	actor	\N	"[""Henry""]"
tt0111512	3	nm0862479	actor	\N	"[""Wong Kei-ying, Wong's Father""]"
tt0111512	4	nm0611315	actress	\N	"[""Ling - Wong's Step-Mother""]"
tt0111512	5	nm0514906	director	\N	\N
tt0111512	6	nm0849282	writer	screenplay	\N
tt0111512	7	nm0867246	writer	screenplay	\N
tt0111512	8	nm0950699	writer	screenplay	\N
tt0111512	9	nm0212933	writer	english adaptation	\N
tt0113326	10	nm0910996	composer	\N	\N
tt0113326	1	nm0000329	actor	\N	"[""Keung""]"
tt0113326	2	nm0611315	actress	\N	"[""Elaine""]"
tt0113326	3	nm0948123	actress	\N	"[""Nancy""]"
tt0113326	4	nm0876603	actor	\N	"[""Uncle Bill""]"
tt0113326	5	nm0867262	director	\N	\N
tt0113326	6	nm0849282	writer	written by	\N
tt0113326	7	nm0530853	writer	written by	\N
tt0113326	8	nm0876602	producer	producer	\N
tt0113326	9	nm0006254	composer	\N	\N
tt0114126	10	nm0482585	producer	producer	\N
tt0114126	1	nm0000329	actor	\N	"[""Chan Foh To""]"
tt0114126	2	nm0950703	actress	\N	"[""Amy Yip""]"
tt0114126	3	nm0939255	actor	\N	"[""Steve Cannon""]"
tt0114126	4	nm0629993	actor	\N	"[""Warner 'Cougar' Kaugman""]"
tt0114126	5	nm0150906	director	\N	\N
tt0114126	6	nm0150916	writer	\N	\N
tt0114126	7	nm0960722	writer	english dialogue	\N
tt0114126	8	nm0165560	writer	\N	\N
tt0114126	9	nm0477241	writer	\N	\N
tt0116704	10	nm0876602	producer	producer	\N
tt0116704	1	nm0000329	actor	\N	"[""Insp. Chan Ka Kui""]"
tt0116704	2	nm0514944	actor	\N	"[""Jackson Tsui""]"
tt0116704	3	nm0938925	actress	\N	"[""Annie Tsui""]"
tt0116704	4	nm0876603	actor	\N	"[""'Uncle' Bill Wong""]"
tt0116704	5	nm0867262	director	\N	\N
tt0116704	6	nm0578128	writer	\N	\N
tt0116704	7	nm0867225	writer	\N	\N
tt0116704	8	nm0870802	writer	\N	\N
tt0116704	9	nm0159494	producer	producer	\N
tt0117786	10	nm0401180	composer	\N	\N
tt0117786	1	nm0000329	actor	\N	"[""Jackie""]"
tt0117786	2	nm0636280	actor	\N	"[""Giancarlo""]"
tt0117786	3	nm0497901	actress	\N	"[""Miki""]"
tt0117786	4	nm0572963	actress	\N	"[""Lakisha""]"
tt0117786	5	nm0005033	director	\N	\N
tt0117786	6	nm0530853	writer	screenplay	\N
tt0117786	7	nm0849282	writer	screenplay	\N
tt0117786	8	nm0482585	producer	executive producer	\N
tt0117786	9	nm0387337	producer	executive producer	\N
tt0120812	10	nm0765306	producer	producer	\N
tt0120812	1	nm0000329	actor	\N	"[""Lee""]"
tt0120812	2	nm0000676	actor	\N	"[""Carter""]"
tt0120812	3	nm0504962	actor	\N	"[""Sang""]"
tt0120812	4	nm0929489	actor	\N	"[""Griffin"",""Juntao""]"
tt0120812	5	nm0711840	director	\N	\N
tt0120812	6	nm0482780	writer	story	\N
tt0120812	7	nm0467942	writer	screenplay	\N
tt0120812	8	nm0083696	producer	producer	\N
tt0120812	9	nm0322802	producer	producer	\N
tt0124891	1	nm0398934	actress	\N	"[""Chin Hsiang Lien""]"
tt0124891	2	nm0945805	actor	\N	"[""Judge Pao Ching Tien""]"
tt0124891	3	nm0477093	actor	\N	"[""Chen Shi Mei""]"
tt0124891	4	nm0000329	actor	\N	"[""Tung Ge (Juvenile)""]"
tt0124891	5	nm1906532	director	\N	\N
tt0124891	6	nm0950964	producer	producer	\N
tt0124891	7	nm1842626	composer	\N	\N
tt0124891	8	nm6374541	cinematographer	\N	\N
tt0124891	9	nm0910855	editor	\N	\N
tt0127357	10	nm0690940	cinematographer	\N	\N
tt0127357	1	nm0000329	actor	\N	"[""Who Am I""]"
tt0127357	2	nm0274255	actress	\N	"[""Christine Stark""]"
tt0127357	3	nm0945457	actress	\N	"[""Yuki""]"
tt0127357	4	nm0806822	actor	\N	"[""Morgan""]"
tt0127357	5	nm0150802	director	\N	\N
tt0127357	6	nm0151113	writer	writer	\N
tt0127357	7	nm0721825	writer	writer	\N
tt0127357	8	nm0876602	producer	producer	\N
tt0127357	9	nm0910996	composer	\N	\N
tt0184526	10	nm0156524	cinematographer	\N	\N
tt0184526	1	nm0000329	actor	\N	"[""C.N. Chan""]"
tt0184526	2	nm0795517	actress	\N	"[""Bu""]"
tt0184526	3	nm0504897	actor	\N	"[""Albert""]"
tt0184526	4	nm0154235	actor	\N	"[""L.W. Lo""]"
tt0184526	5	nm0463674	director	\N	\N
tt0184526	6	nm0387306	writer	story	\N
tt0184526	7	nm0516352	writer	writer	\N
